"","word","score","sentiment0"
"1","deny",-2,"negative"
"2","limited",-1,"negative"
"3","miss",-2,"negative"
"4","free",1,"positive"
"5","pretty",1,"positive"
"6","top",2,"positive"
"7","top",2,"positive"
"8","boosted",1,"positive"
"9","reaching",1,"positive"
"10","bitch",-5,"negative"
"11","bitch",-5,"negative"
"12","bitch",-5,"negative"
"13","proud",2,"positive"
"14","worst",-3,"negative"
"15","ha",2,"positive"
"16","ha",2,"positive"
"17","redeemed",2,"positive"
"18","boosted",1,"positive"
"19","boosted",1,"positive"
"20","cut",-1,"negative"
"21","enjoy",2,"positive"
"22","save",2,"positive"
"23","cancel",-1,"negative"
"24","exempt",-1,"negative"
"25","missing",-2,"negative"
"26","free",1,"positive"
"27","top",2,"positive"
"28","celebrate",3,"positive"
"29","adventures",2,"positive"
"30","reaching",1,"positive"
"31","inconvenience",-2,"negative"
"32","hate",-3,"negative"
"33","top",2,"positive"
"34","stop",-1,"negative"
"35","disappointed",-2,"negative"
"36","misleading",-3,"negative"
"37","disgusting",-3,"negative"
"38","dream",1,"positive"
"39","save",2,"positive"
"40","fun",4,"positive"
"41","save",2,"positive"
"42","top",2,"positive"
"43","competitive",2,"positive"
"44","apologizing",-1,"negative"
"45","top",2,"positive"
"46","top",2,"positive"
"47","top",2,"positive"
"48","shares",1,"positive"
"49","shares",1,"positive"
"50","shares",1,"positive"
"51","shares",1,"positive"
"52","top",2,"positive"
"53","fun",4,"positive"
"54","friendly",2,"positive"
"55","save",2,"positive"
"56","save",2,"positive"
"57","save",2,"positive"
"58","save",2,"positive"
"59","enjoy",2,"positive"
"60","top",2,"positive"
"61","shares",1,"positive"
"62","dedicated",2,"positive"
"63","recommended",2,"positive"
"64","shares",1,"positive"
"65","stop",-1,"negative"
"66","care",2,"positive"
"67","excellent",3,"positive"
"68","top",2,"positive"
"69","coward",-2,"negative"
"70","shoot",-1,"negative"
"71","fuck",-4,"negative"
"72","favor",2,"positive"
"73","reached",1,"positive"
"74","care",2,"positive"
"75","proud",2,"positive"
"76","worst",-3,"negative"
"77","ha",2,"positive"
"78","ha",2,"positive"
"79","save",2,"positive"
"80","innovation",1,"positive"
"81","cancel",-1,"negative"
"82","competitive",2,"positive"
"83","alert",-1,"negative"
"84","avoid",-1,"negative"
"85","generous",2,"positive"
"86","riot",-2,"negative"
"87","united",1,"positive"
"88","regret",-2,"negative"
"89","disappointed",-2,"negative"
"90","drop",-1,"negative"
"91","hope",2,"positive"
"92","safely",1,"positive"
"93","favor",2,"positive"
"94","glad",3,"positive"
"95","fail",-2,"negative"
"96","avoid",-1,"negative"
"97","disappointment",-2,"negative"
"98","regret",-2,"negative"
"99","regret",-2,"negative"
"100","winning",4,"positive"
"101","missing",-2,"negative"
"102","dishonest",-2,"negative"
"103","missed",-2,"negative"
"104","cancelled",-1,"negative"
"105","blames",-2,"negative"
"106","blames",-2,"negative"
"107","support",2,"positive"
"108","accidentally",-2,"negative"
"109","missing",-2,"negative"
"110","dead",-3,"negative"
"111","pay",-1,"negative"
"112","yeah",1,"positive"
"113","hard",-1,"negative"
"114","favor",2,"positive"
"115","worst",-3,"negative"
"116","love",3,"positive"
"117","lovely",3,"positive"
"118","perfect",3,"positive"
"119","strikes",-1,"negative"
"120","hard",-1,"negative"
"121","encourage",2,"positive"
"122","love",3,"positive"
"123","stop",-1,"negative"
"124","free",1,"positive"
"125","fair",2,"positive"
"126","hopes",2,"positive"
"127","free",1,"positive"
"128","alert",-1,"negative"
"129","avoid",-1,"negative"
"130","save",2,"positive"
"131","cancel",-1,"negative"
"132","stuck",-2,"negative"
"133","save",2,"positive"
"134","top",2,"positive"
"135","hard",-1,"negative"
"136","worth",2,"positive"
"137","adventure",2,"positive"
"138","rewards",2,"positive"
"139","united",1,"positive"
"140","fun",4,"positive"
"141","supports",2,"positive"
"142","amazing",4,"positive"
"143","competitive",2,"positive"
"144","competitive",2,"positive"
"145","frustrating",-2,"negative"
"146","lol",3,"positive"
"147","enemy",-2,"negative"
"148","lol",3,"positive"
"149","lol",3,"positive"
"150","top",2,"positive"
"151","natural",1,"positive"
"152","disasters",-2,"negative"
"153","natural",1,"positive"
"154","disasters",-2,"negative"
"155","love",3,"positive"
"156","improve",2,"positive"
"157","evil",-3,"negative"
"158","top",2,"positive"
"159","miserable",-3,"negative"
"160","save",2,"positive"
"161","opportunity",2,"positive"
"162","imbecile",-3,"negative"
"163","coward",-2,"negative"
"164","shoot",-1,"negative"
"165","terrible",-3,"negative"
"166","won",3,"positive"
"167","mistake",-2,"negative"
"168","top",2,"positive"
"169","cut",-1,"negative"
"170","embrace",1,"positive"
"171","supports",2,"positive"
"172","embrace",1,"positive"
"173","innovation",1,"positive"
"174","supports",2,"positive"
"175","stuck",-2,"negative"
"176","missed",-2,"negative"
"177","broken",-1,"negative"
"178","sick",-2,"negative"
"179","missed",-2,"negative"
"180","broken",-1,"negative"
"181","sick",-2,"negative"
"182","honor",2,"positive"
"183","disappointed",-2,"negative"
"184","care",2,"positive"
"185","increased",1,"positive"
"186","dear",2,"positive"
"187","deception",-3,"negative"
"188","duped",-2,"negative"
"189","deceived",-3,"negative"
"190","refuse",-2,"negative"
"191","hid",-1,"negative"
"192","competitive",2,"positive"
"193","scam",-2,"negative"
"194","inconvenience",-2,"negative"
"195","hope",2,"positive"
"196","duped",-2,"negative"
"197","scam",-2,"negative"
"198","error",-2,"negative"
"199","competitive",2,"positive"
"200","yeah",1,"positive"
"201","super",3,"positive"
"202","hilarious",2,"positive"
"203","loving",2,"positive"
"204","bad",-3,"negative"
"205","easy",1,"positive"
"206","ruin",-2,"negative"
"207","enjoy",2,"positive"
"208","attack",-1,"negative"
"209","fun",4,"positive"
"210","attack",-1,"negative"
"211","top",2,"positive"
"212","top",2,"positive"
"213","miserable",-3,"negative"
"214","nice",3,"positive"
"215","shame",-2,"negative"
"216","accept",1,"positive"
"217","winning",4,"positive"
"218","missing",-2,"negative"
"219","favor",2,"positive"
"220","demand",-1,"negative"
"221","top",2,"positive"
"222","demand",-1,"negative"
"223","top",2,"positive"
"224","progress",2,"positive"
"225","error",-2,"negative"
"226","impressive",3,"positive"
"227","cancelled",-1,"negative"
"228","top",2,"positive"
"229","disappointment",-2,"negative"
"230","favor",2,"positive"
"231","top",2,"positive"
"232","guilty",-3,"negative"
"233","terrible",-3,"negative"
"234","free",1,"positive"
"235","cancel",-1,"negative"
"236","free",1,"positive"
"237","cancel",-1,"negative"
"238","free",1,"positive"
"239","friendly",2,"positive"
"240","legally",1,"positive"
"241","top",2,"positive"
"242","horrific",-3,"negative"
"243","reaching",1,"positive"
"244","disappointment",-2,"negative"
"245","stop",-1,"negative"
"246","annoying",-2,"negative"
"247","shit",-4,"negative"
"248","error",-2,"negative"
"249","limited",-1,"negative"
"250","easy",1,"positive"
"251","fun",4,"positive"
"252","glad",3,"positive"
"253","brilliant",4,"positive"
"254","fun",4,"positive"
"255","shares",1,"positive"
"256","asset",2,"positive"
"257","fake",-3,"negative"
"258","fun",4,"positive"
"259","popular",3,"positive"
"260","top",2,"positive"
"261","miserable",-3,"negative"
"262","nice",3,"positive"
"263","fun",4,"positive"
"264","congratulations",2,"positive"
"265","solutions",1,"positive"
"266","fun",4,"positive"
"267","friendly",2,"positive"
"268","fun",4,"positive"
"269","excellent",3,"positive"
"270","love",3,"positive"
"271","nice",3,"positive"
"272","united",1,"positive"
"273","love",3,"positive"
"274","perfect",3,"positive"
"275","friendly",2,"positive"
"276","love",3,"positive"
"277","chance",2,"positive"
"278","cancelled",-1,"negative"
"279","united",1,"positive"
"280","love",3,"positive"
"281","perfect",3,"positive"
"282","grace",1,"positive"
"283","yeah",1,"positive"
"284","love",3,"positive"
"285","lol",3,"positive"
"286","lol",3,"positive"
"287","jesus",1,"positive"
"288","top",2,"positive"
"289","miserable",-3,"negative"
"290","nice",3,"positive"
"291","top",2,"positive"
"292","dead",-3,"negative"
"293","care",2,"positive"
"294","terrible",-3,"negative"
"295","promised",1,"positive"
"296","top",2,"positive"
"297","amazing",4,"positive"
"298","top",2,"positive"
"299","miserable",-3,"negative"
"300","nice",3,"positive"
"301","avoid",-1,"negative"
"302","friendly",2,"positive"
"303","care",2,"positive"
"304","share",1,"positive"
"305","resolve",2,"positive"
"306","lawsuit",-2,"negative"
"307","ban",-2,"negative"
"308","offended",-2,"negative"
"309","forced",-1,"negative"
"310","regret",-2,"negative"
"311","inconvenience",-2,"negative"
"312","terrible",-3,"negative"
"313","cancelled",-1,"negative"
"314","friendly",2,"positive"
"315","kudos",3,"positive"
"316","united",1,"positive"
"317","support",2,"positive"
"318","helping",2,"positive"
"319","popular",3,"positive"
"320","alert",-1,"negative"
"321","misleading",-3,"negative"
"322","obsolete",-2,"negative"
"323","obsolete",-2,"negative"
"324","obsolete",-2,"negative"
"325","scam",-2,"negative"
"326","horrendous",-3,"negative"
"327","mistake",-2,"negative"
"328","demanded",-1,"negative"
"329","top",2,"positive"
"330","save",2,"positive"
"331","friendly",2,"positive"
"332","top",2,"positive"
"333","miserable",-3,"negative"
"334","agree",1,"positive"
"335","winner",4,"positive"
"336","sad",-2,"negative"
"337","increased",1,"positive"
"338","increased",1,"positive"
"339","increased",1,"positive"
"340","regret",-2,"negative"
"341","inconvenience",-2,"negative"
"342","hard",-1,"negative"
"343","benefits",2,"positive"
"344","responsible",2,"positive"
"345","increased",1,"positive"
"346","increase",1,"positive"
"347","illegal",-3,"negative"
"348","misrepresentation",-2,"negative"
"349","fraud",-4,"negative"
"350","terrible",-3,"negative"
"351","helpful",2,"positive"
"352","hard",-1,"negative"
"353","benefits",2,"positive"
"354","unhappy",-2,"negative"
"355","sigh",-2,"negative"
"356","happy",3,"positive"
"357","insulting",-2,"negative"
"358","wasted",-2,"negative"
"359","friendly",2,"positive"
"360","care",2,"positive"
"361","hard",-1,"negative"
"362","benefits",2,"positive"
"363","cool",1,"positive"
"364","supports",2,"positive"
"365","agree",1,"positive"
"366","hide",-1,"negative"
"367","love",3,"positive"
"368","regret",-2,"negative"
"369","ha",2,"positive"
"370","sunshine",2,"positive"
"371","top",2,"positive"
"372","miss",-2,"negative"
"373","pay",-1,"negative"
"374","top",2,"positive"
"375","supports",2,"positive"
"376","inconvenience",-2,"negative"
"377","care",2,"positive"
"378","cancel",-1,"negative"
"379","united",1,"positive"
"380","escape",-1,"negative"
"381","regret",-2,"negative"
"382","glad",3,"positive"
"383","bad",-3,"negative"
"384","promised",1,"positive"
"385","disappointed",-2,"negative"
"386","top",2,"positive"
"387","miserable",-3,"negative"
"388","nice",3,"positive"
"389","obsolete",-2,"negative"
"390","united",1,"positive"
"391","top",2,"positive"
"392","miserable",-3,"negative"
"393","nice",3,"positive"
"394","top",2,"positive"
"395","miserable",-3,"negative"
"396","nice",3,"positive"
"397","top",2,"positive"
"398","miserable",-3,"negative"
"399","nice",3,"positive"
"400","top",2,"positive"
"401","friendly",2,"positive"
"402","supports",2,"positive"
"403","wow",4,"positive"
"404","courage",2,"positive"
"405","supports",2,"positive"
"406","miserable",-3,"negative"
"407","top",2,"positive"
"408","love",3,"positive"
"409","hate",-3,"negative"
"410","save",2,"positive"
"411","bullshit",-4,"negative"
"412","matter",1,"positive"
"413","top",2,"positive"
"414","miserable",-3,"negative"
"415","nice",3,"positive"
"416","save",2,"positive"
"417","save",2,"positive"
"418","save",2,"positive"
"419","save",2,"positive"
"420","fun",4,"positive"
"421","friendly",2,"positive"
"422","miserable",-3,"negative"
"423","top",2,"positive"
"424","miserable",-3,"negative"
"425","agree",1,"positive"
"426","top",2,"positive"
"427","fun",4,"positive"
"428","friendly",2,"positive"
"429","top",2,"positive"
"430","miserable",-3,"negative"
"431","nice",3,"positive"
"432","pain",-2,"negative"
"433","glad",3,"positive"
"434","wow",4,"positive"
"435","courage",2,"positive"
"436","top",2,"positive"
"437","miserable",-3,"negative"
"438","nice",3,"positive"
"439","helpless",-2,"negative"
"440","ambitious",2,"positive"
"441","top",2,"positive"
"442","miserable",-3,"negative"
"443","nice",3,"positive"
"444","reach",1,"positive"
"445","top",2,"positive"
"446","victim",-3,"negative"
"447","top",2,"positive"
"448","miserable",-3,"negative"
"449","nice",3,"positive"
"450","lol",3,"positive"
"451","dear",2,"positive"
"452","reaching",1,"positive"
"453","top",2,"positive"
"454","miserable",-3,"negative"
"455","agree",1,"positive"
"456","gift",2,"positive"
"457","top",2,"positive"
"458","miserable",-3,"negative"
"459","nice",3,"positive"
"460","regret",-2,"negative"
"461","top",2,"positive"
"462","miserable",-3,"negative"
"463","nice",3,"positive"
"464","accept",1,"positive"
"465","merry",3,"positive"
"466","error",-2,"negative"
"467","missed",-2,"negative"
"468","broken",-1,"negative"
"469","sick",-2,"negative"
"470","love",3,"positive"
"471","waste",-1,"negative"
"472","stuck",-2,"negative"
"473","missed",-2,"negative"
"474","broken",-1,"negative"
"475","sick",-2,"negative"
"476","supports",2,"positive"
"477","supports",2,"positive"
"478","top",2,"positive"
"479","miserable",-3,"negative"
"480","nice",3,"positive"
"481","miserable",-3,"negative"
"482","top",2,"positive"
"483","miserable",-3,"negative"
"484","nice",3,"positive"
"485","top",2,"positive"
"486","miserable",-3,"negative"
"487","agree",1,"positive"
"488","stop",-1,"negative"
"489","enjoying",2,"positive"
"490","top",2,"positive"
"491","miserable",-3,"negative"
"492","nice",3,"positive"
"493","miserable",-3,"negative"
"494","enjoying",2,"positive"
"495","love",3,"positive"
"496","top",2,"positive"
"497","miserable",-3,"negative"
"498","nice",3,"positive"
"499","attack",-1,"negative"
"500","top",2,"positive"
"501","miserable",-3,"negative"
"502","nice",3,"positive"
"503","top",2,"positive"
"504","miserable",-3,"negative"
"505","nice",3,"positive"
"506","top",2,"positive"
"507","friendly",2,"positive"
"508","friendly",2,"positive"
"509","friendly",2,"positive"
"510","top",2,"positive"
"511","miserable",-3,"negative"
"512","nice",3,"positive"
"513","top",2,"positive"
